Customer City,Customer Country,Customer Email,Customer Fname,Customer Id,Customer Lname,Customer Password,Customer Segment,Customer State,Customer Street,Customer Zipcode,Latitude,Longitude
Brooklyn,EE. UU.,XXXXXXXXX,Constance,14610,Howe,XXXXXXXXX,Corporate,NY,9939 Quaking Chase,11204,40.61486054,-73.98577118
Caguas,Puerto Rico,XXXXXXXXX,Astra,16111,Workman,XXXXXXXXX,Corporate,PR,8428 Noble Elk Loop,725,18.29604149,-66.03705597
Caguas,Puerto Rico,XXXXXXXXX,Cally,20401,Kelley,XXXXXXXXX,Corporate,PR,9611 Lost Parade,725,18.21905899,-66.03705597
Caguas,Puerto Rico,XXXXXXXXX,Inga,13322,Stein,XXXXXXXXX,Consumer,PR,444 Grand Corner,725,18.23552132,-66.03705597
Caguas,Puerto Rico,XXXXXXXXX,Kelsie,12818,Torres,XXXXXXXXX,Consumer,PR,7666 High Dale Bank,725,18.20862389,-66.0370636
Caguas,Puerto Rico,XXXXXXXXX,Lareina,20202,Freeman,XXXXXXXXX,Home Office,PR,4691 Cinder Crest,725,18.25058174,-66.03705597
Caguas,Puerto Rico,XXXXXXXXX,Mary,7927,Dickson,XXXXXXXXX,Consumer,PR,9524 Amber Terrace,725,18.21828651,-66.37056732
Caguas,Puerto Rico,XXXXXXXXX,Mary,8165,Kirk,XXXXXXXXX,Corporate,PR,4929 Red Road,725,18.22327805,-66.37062836
Caguas,Puerto Rico,XXXXXXXXX,Mary,8363,Montoya,XXXXXXXXX,Corporate,PR,3493 Shady Gate Rise,725,18.27012444,-66.37059784
Caguas,Puerto Rico,XXXXXXXXX,Oprah,13452,Weiss,XXXXXXXXX,Consumer,PR,4136 Emerald Key,725,18.2367096,-66.03704834
Caguas,Puerto Rico,XXXXXXXXX,Paloma,18182,Bentley,XXXXXXXXX,Home Office,PR,6888 Crystal Wagon Wynd,725,18.25430107,-66.03705597
Carlsbad,EE. UU.,XXXXXXXXX,Mary,6463,Smith,XXXXXXXXX,Consumer,CA,6699 Iron Deer Estates,92009,33.0895195,-117.2552032
Modesto,EE. UU.,XXXXXXXXX,Mary,12330,Roy,XXXXXXXXX,Consumer,CA,6879 Emerald Way,95351,37.62343597,-121.1197205
Newark,EE. UU.,XXXXXXXXX,Imelda,19331,Castaneda,XXXXXXXXX,Home Office,DE,5860 Hidden Parkway,19711,39.67436981,-75.76576996
Pomona,EE. UU.,XXXXXXXXX,Priscilla,17605,Mccray,XXXXXXXXX,Consumer,CA,4979 Honey Plaza,91767,34.07833099,-117.7349777
Riverside,EE. UU.,XXXXXXXXX,Jack,4825,Boyle,XXXXXXXXX,Corporate,CA,1124 Silent Pine Harbour,92503,33.94258881,-117.4573898
Salem,EE. UU.,XXXXXXXXX,Violet,15738,Wall,XXXXXXXXX,Consumer,OR,1744 Little Mews,97301,44.95619965,-123.0315933
Strongsville,EE. UU.,XXXXXXXXX,Mary,11833,Weaver,XXXXXXXXX,Consumer,OH,2210 Merry Leaf Row,44136,41.3469696,-81.82631683
Webster,EE. UU.,XXXXXXXXX,Christine,16732,Rose,XXXXXXXXX,Corporate,NY,3867 Middle Leaf By-pass,14580,42.42012024,-79.31320953
Wichita,EE. UU.,XXXXXXXXX,Sophia,17031,Carpenter,XXXXXXXXX,Corporate,KS,4148 Round Parkway,67212,37.61977005,-97.33959961
Wyandotte,EE. UU.,XXXXXXXXX,David,379,Briggs,XXXXXXXXX,Home Office,MI,3880 Green Edge,48192,42.20285797,-83.14969635
Amarillo,EE. UU.,XXXXXXXXX,Jaime,15318,Decker,XXXXXXXXX,Consumer,TX,6826 Quiet Lane,79109,35.18754196,-101.8676224
Broken Arrow,EE. UU.,XXXXXXXXX,Sean,915,Burton,XXXXXXXXX,Consumer,OK,9022 Foggy Dell,74012,35.8944664,-97.57640839
Caguas,Puerto Rico,XXXXXXXXX,Nichole,14456,Ramos,XXXXXXXXX,Corporate,PR,3657 Harvest Crest,725,18.22247505,-66.03704834
Caguas,Puerto Rico,XXXXXXXXX,Sara,15260,Donaldson,XXXXXXXXX,Corporate,PR,18 Jagged Willow Beach,725,18.25341225,-66.03705597
Caguas,Puerto Rico,XXXXXXXXX,Simone,18282,Washington,XXXXXXXXX,Consumer,PR,3504 Sunny Embers Way,725,18.29009438,-66.03705597
Highland,EE. UU.,XXXXXXXXX,Iris,13576,Holcomb,XXXXXXXXX,Consumer,CA,9086 Cinder Meadow,92346,34.43022919,-116.9525146
Lombard,EE. UU.,XXXXXXXXX,Mary,11963,Wood,XXXXXXXXX,Consumer,IL,2262 Green Wharf,60148,41.85577774,-88.00856781
Los Angeles,EE. UU.,XXXXXXXXX,Rachel,14550,Pope,XXXXXXXXX,Consumer,CA,6889 Velvet Impasse,90024,34.06435013,-118.437088
Orange Park,EE. UU.,XXXXXXXXX,Summer,20056,Small,XXXXXXXXX,Consumer,FL,9589 Broad Spring Extension,32073,28.42708015,-81.36988068
San Diego,EE. UU.,XXXXXXXXX,Quyn,16941,Oliver,XXXXXXXXX,Consumer,CA,6306 Merry Deer Autoroute,92105,32.74953461,-117.1046524
Staten Island,EE. UU.,XXXXXXXXX,Signe,13991,Levine,XXXXXXXXX,Consumer,NY,4047 Grand Port,10314,40.58441544,-74.15991974
Walnut,EE. UU.,XXXXXXXXX,Mary,7116,Smith,XXXXXXXXX,Corporate,CA,9117 Tawny Mall,91789,33.88022995,-118.1401291
Webster,EE. UU.,XXXXXXXXX,Edward,4296,Sanchez,XXXXXXXXX,Consumer,NY,3867 Middle Leaf By-pass,14580,42.42012024,-79.31320953
Bakersfield,EE. UU.,XXXXXXXXX,Chantale,16783,Hill,XXXXXXXXX,Consumer,CA,2027 Thunder Creek Thicket,93304,35.36254501,-119.0186996
Brooklyn,EE. UU.,XXXXXXXXX,Mary,1765,Smith,XXXXXXXXX,Home Office,NY,5234 Foggy Bear Meadow,11214,40.60320664,-73.99624634
Caguas,Puerto Rico,XXXXXXXXX,Alan,2472,Holmes,XXXXXXXXX,Corporate,PR,8589 Red Deer Circuit,725,18.20163155,-66.37062073
Caguas,Puerto Rico,XXXXXXXXX,Belle,20706,Sutton,XXXXXXXXX,Consumer,PR,7106 Rustic Brook Byway,725,18.23366928,-66.0370636
Caguas,Puerto Rico,XXXXXXXXX,Brandon,4337,Sullivan,XXXXXXXXX,Consumer,PR,9739 Round Spring Expressway,725,18.28269959,-66.37054443
Caguas,Puerto Rico,XXXXXXXXX,Carissa,20108,Estrada,XXXXXXXXX,Corporate,PR,6819 Clear Branch Estates,725,18.20209885,-66.03705597
Caguas,Puerto Rico,XXXXXXXXX,Mary,8893,Smith,XXXXXXXXX,Corporate,PR,9494 Thunder Inlet,725,18.21663857,-66.37062836
Caguas,Puerto Rico,XXXXXXXXX,Nichole,12984,Guzman,XXXXXXXXX,Consumer,PR,9022 Foggy Dell,725,18.21829033,-66.03705597
